geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US31109,"Lancaster County, Nebraska",122646,113258,388,104739,8131,9388
0500000US31011,"Boone County, Nebraska",2280,1921,21,1765,135,359
0500000US31149,"Rock County, Nebraska",626,512,7,438,67,114
0500000US31007,"Banner County, Nebraska",279,247,11,209,27,32
0500000US31163,"Sherman County, Nebraska",1358,1134,13,1011,110,224
0500000US31147,"Richardson County, Nebraska",3772,3142,21,2823,298,630
0500000US31093,"Howard County, Nebraska",2684,2268,45,1936,287,416
0500000US31089,"Holt County, Nebraska",4435,3761,51,3149,561,674
0500000US31065,"Furnas County, Nebraska",2142,1729,8,1552,169,413
0500000US31073,"Gosper County, Nebraska",877,744,5,686,53,133
0500000US31151,"Saline County, Nebraska",5073,4319,65,3807,447,754
0500000US31153,"Sarpy County, Nebraska",65045,61574,199,58327,3048,3471
0500000US31173,"Thurston County, Nebraska",2175,1747,25,1348,374,428
0500000US31177,"Washington County, Nebraska",8125,7460,130,6609,721,665
0500000US31015,"Boyd County, Nebraska",903,702,1,620,81,201
0500000US31031,"Cherry County, Nebraska",2566,2093,10,1901,182,473
0500000US31053,"Dodge County, Nebraska",15289,13266,121,11465,1680,2023
0500000US31059,"Fillmore County, Nebraska",2510,2078,28,1819,231,432
0500000US31069,"Garden County, Nebraska",871,768,6,629,133,103
0500000US31091,"Hooker County, Nebraska",319,242,0,213,29,77
0500000US31123,"Morrill County, Nebraska",1982,1669,7,1439,223,313
0500000US31127,"Nemaha County, Nebraska",2877,2471,45,2164,262,406
0500000US31159,"Seward County, Nebraska",6596,5808,57,5296,455,788
0500000US31171,"Thomas County, Nebraska",292,249,0,240,9,43
0500000US31043,"Dakota County, Nebraska",7456,6632,36,5594,1002,824
0500000US31181,"Webster County, Nebraska",1519,1255,30,1101,124,264
0500000US31003,"Antelope County, Nebraska",2675,2183,23,1914,246,492
0500000US31023,"Butler County, Nebraska",3377,2795,53,2497,245,582
0500000US31035,"Clay County, Nebraska",2574,2241,29,1938,274,333
0500000US31041,"Custer County, Nebraska",4846,4064,54,3385,625,782
0500000US31067,"Gage County, Nebraska",9160,7690,109,6950,631,1470
