GEO_ID,NAME,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel
0500000US31181,"Webster County, Nebraska",2816,63.1,2.4,220
0500000US31183,"Wheeler County, Nebraska",695,66.6,0.4,29
0500000US31185,"York County, Nebraska",10966,64.7,2.9,637
0500000US32001,"Churchill County, Nevada",19017,56.8,7.2,1698
0500000US32003,"Clark County, Nevada",1692284,64.3,7.2,163779
0500000US32005,"Douglas County, Nevada",40551,54.5,5.2,2537
0500000US32007,"Elko County, Nevada",39395,69.6,4.5,3038
0500000US32009,"Esmeralda County, Nevada",794,49.7,1.8,24
0500000US32011,"Eureka County, Nevada",1456,66,0,26
0500000US32013,"Humboldt County, Nevada",12757,70.7,5.3,993
0500000US32015,"Lander County, Nevada",4287,66.8,9.3,350
0500000US32017,"Lincoln County, Nevada",4434,45,10.6,151
0500000US32019,"Lyon County, Nevada",42956,56.2,8.7,3554
0500000US32021,"Mineral County, Nevada",3755,54.1,14.8,523
0500000US32023,"Nye County, Nevada",37085,43.9,9.4,3753
0500000US32027,"Pershing County, Nevada",5656,38.4,7,244
0500000US32029,"Storey County, Nevada",3416,51.7,4.3,180
0500000US32031,"Washoe County, Nevada",362418,66.1,5.6,31368
0500000US32033,"White Pine County, Nevada",7907,48.1,3.8,414
0500000US32510,"Carson City, Nevada",44658,60,6.2,3657
0500000US33001,"Belknap County, New Hampshire",50699,64.1,4.7,2915
0500000US33003,"Carroll County, New Hampshire",41221,59.6,3.6,2695
0500000US33005,"Cheshire County, New Hampshire",64173,65.1,3.8,4403
0500000US33007,"Coos County, New Hampshire",27423,56.3,5.6,2148
0500000US33009,"Grafton County, New Hampshire",76790,63,3.4,5033
0500000US33011,"Hillsborough County, New Hampshire",335710,70.1,4.3,19224
0500000US33013,"Merrimack County, New Hampshire",124014,66.3,3.9,6411
0500000US33015,"Rockingham County, New Hampshire",252426,71.6,3.7,7800
0500000US33017,"Strafford County, New Hampshire",106617,68.6,4.1,7916
0500000US33019,"Sullivan County, New Hampshire",35744,61.9,3.7,2789
0500000US34001,"Atlantic County, New Jersey",217525,64.9,9.6,19956
0500000US34003,"Bergen County, New Jersey",755651,66,4.5,34581
0500000US34005,"Burlington County, New Jersey",362926,66.7,6.3,15664
0500000US34007,"Camden County, New Jersey",404141,66,7.1,33675
0500000US34009,"Cape May County, New Jersey",79298,58,7.7,5480
0500000US34011,"Cumberland County, New Jersey",121197,56,7.3,12829
0500000US34013,"Essex County, New Jersey",624970,65.9,9.2,67597
0500000US34015,"Gloucester County, New Jersey",233759,67.5,6.3,12318
0500000US34017,"Hudson County, New Jersey",544263,69,6.1,59563
0500000US34019,"Hunterdon County, New Jersey",103664,66.7,4,3432
0500000US34021,"Mercer County, New Jersey",298866,64.9,6.8,22343
0500000US34023,"Middlesex County, New Jersey",666635,64.5,5.6,35927
0500000US34025,"Monmouth County, New Jersey",506127,65.9,5.2,24719
0500000US34027,"Morris County, New Jersey",401885,68.3,4.7,12203
0500000US34029,"Ocean County, New Jersey",466075,58.6,5.9,28660
0500000US34031,"Passaic County, New Jersey",396321,63.5,5,40806
0500000US34033,"Salem County, New Jersey",51320,61.7,7.3,4110
0500000US34035,"Somerset County, New Jersey",265127,68.5,4.5,8742
0500000US34037,"Sussex County, New Jersey",117248,68.3,5.7,4252
0500000US34039,"Union County, New Jersey",437481,68.3,6.3,27782
0500000US34041,"Warren County, New Jersey",87696,67.2,6.3,4432
0500000US35001,"Bernalillo County, New Mexico",543534,62.4,6.3,65160
0500000US35003,"Catron County, New Mexico",3190,26.4,0,460
0500000US35005,"Chaves County, New Mexico",50213,56.5,5.9,6268
0500000US35006,"Cibola County, New Mexico",21435,52.7,15.4,3700
0500000US35007,"Colfax County, New Mexico",10287,50.8,9.3,1401
0500000US35009,"Curry County, New Mexico",38277,64.1,6.8,5056
0500000US35011,"De Baca County, New Mexico",1618,48,3.6,162
